lat,lng,address,full_address,unique_name_lv,category_lv,building_type_lv,architect_1_lv,architect_2_lv,architect_3_lv,architect_4_lv,architect_all_lv,year_start,year_end,year_start_with_minus,year_display_lv,year_start_us_date,notes_lv,source,city,country,link_image,image,is_from_web,source_lv,author,license
56.9499238,24.1018194,Anglikāņu iela 5,"Anglikāņu iela 5, Centra rajons, Rīga, LV-1050",,Birģera klasicisms,Portāls,Kristofs Hāberlands,,,,Kristofs Hāberlands,1795,1795,-1795,1795,1795-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 67–68.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_anglikanu-iela-5_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_anglikanu-iela-5_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9471238,24.1117706,Audēju iela 8,"Audēju iela 8, Centra rajons, Rīga, LV-1050",,Birģera klasicisms,Dzīvojamā ēka,Kristofs Hāberlands,,,,Kristofs Hāberlands,1790,1790,-1790,1790,1790-01-01,,"Harijs Tumans, Antīkie tēli Rīgas arhitektūrā (Rīga: LU Akadēmiskais apgāds), 73.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_audeju-iela-8_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_audeju-iela-8_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9471542,24.1105839,Grēcinieku iela 1,"Grēcinieku iela 1, Centra rajons, Rīga, LV-1047",,Birģera klasicisms,Dzīvojamā ēka,Kristofs Hāberlands,Andreass Jensens Vāgensens,,,Kristofs Hāberlands un Andreass Jensens Vāgensens,1779,1779,-1779,1779,1779-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 68–69.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_grecinieku-iela-1_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_grecinieku-iela-1_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9522262,24.1054949,Jēkaba iela 24,"Jēkaba iela 24, Centra rajons, Rīga, LV-1050",,Birģera klasicisms,Dzīvojamā ēka,Kristofs Hāberlands,,,,Kristofs Hāberlands,1789,1789,-1789,1789,1789-01-01,,https://www.redzet.lv/travel/arhitektura/klasicisms/jekaba-iela-24-riga,Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_jekaba-iela-24_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_jekaba-iela-24_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9485403,24.1094734,Kalēju iela 3,"Kalēju iela 3, Centra rajons, Rīga, LV-1050",,Birģera klasicisms,Dzīvojamā ēka,Nezināms,,,,Nezināms,,,,Nezināms,,,https://www.redzet.lv/info/Klasicisms,Rīga,Latvija,,,,,,
56.9499542,24.1033169,Miesnieku iela 1,"Miesnieku iela 1, Centra rajons, Rīga, LV-1050",,Birģera klasicisms,Dzīvojamā ēka,Kristofs Hāberlands,,,,Kristofs Hāberlands,1779,1779,-1779,1779,1779-01-01,,"https://www.redzet.lv/info/Miesnieku_iela_1,_R%C4%ABga",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_miesnieku-iela-1_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_miesnieku-iela-1_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9504073,24.1022128,Pils iela 6,"Pils iela 6, Centra rajons, Rīga, LV-1050",,Birģera klasicisms,Dzīvojamā ēka,Kristofs Hāberlands,,,,Kristofs Hāberlands,1795,1795,-1795,1795,1795-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 67.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_pils-iela-6_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_pils-iela-6_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9501417,24.1022316,Pils iela 9,"Pils iela 9, Centra rajons, Rīga, LV-1050",,Birģera klasicisms,Dzīvojamā ēka,Kristofs Hāberlands,Johans Heinrihs Krāmers,,,Johans Heinrihs Krāmers un Kristofs Hāberlands,1793,1793,-1793,1793,1793-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 67.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_pils-iela-9_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_pils-iela-9_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9506653,24.1080951,Smilšu iela 5,"Smilšu iela 5, Centra rajons, Rīga, LV-1050",,Birģera klasicisms,Dzīvojamā ēka,Kristofs Hāberlands,,,,Kristofs Hāberlands,1794,1794,-1794,1794,1794-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 67.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_smilsu-iela-5_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_smilsu-iela-5_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9483852,24.1118655,Teātra iela 6,"Teātra iela 6, Centra rajons, Rīga, LV-1050",,Birģera klasicisms,Dzīvojamā ēka,Kristofs Hāberlands,,,,Kristofs Hāberlands,1785,1785,-1785,1785,1785-01-01,Ēka piederēja Kristofam Hāberlandam. Autentiskā izskatā saglabājušās tikai izsmalcināti apdarinātās fasādes.,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 67.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_teatra-iela-6_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_teatra-iela-6_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
